         633662181 function calls (624021167 primitive calls) in 545.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2295666    1.409    0.000   11.400    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:492(is_interval_dtype)
   829977    1.405    0.000    3.500    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:212(shape)
    86175    1.370    0.000   13.065    0.000 ..\highway_env\vehicle\controller.py:117(steering_control)
  2048328    1.359    0.000    2.296    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:492(name)
  1955375    1.350    0.000    1.350    0.000 {built-in method torch._C._get_tracing_state}
   565056    1.349    0.000    1.928    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\arrays\numpy_.py:162(__init__)
   918216    1.336    0.000    1.572    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1541(__init__)
   105954    1.321    0.000    3.051    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1852(_stack_arrays)
  2613384    1.320    0.000    2.319    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:442(name)
  1200780    1.317    0.000   19.423    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:520(_try_cast)
  1072132    1.249    0.000    2.406    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:3075(ndim)
  3831903    1.236    0.000    1.647    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\range.py:687(__len__)
  3478683    1.201    0.000    1.753    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
   565056    1.200    0.000    2.577    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:429(maybe_upcast_for_op)
  1954878    1.196    0.000    1.196    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\module.py:765(__getattr__)
   194241    1.190    0.000   58.738    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
    69110    1.169    0.000    5.284    0.000 ..\highway_env\vehicle\kinematics.py:123(step)
    70632    1.166    0.000   26.755    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1523(_setitem_with_indexer)
   728946    1.154    0.000    3.460    0.000 ..\highway_env\vehicle\kinematics.py:223(destination_direction)
    70644    1.125    0.000    2.416    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:87(_get_mgr_concatenation_plan)
   737692    1.120    0.000    5.282    0.000 ..\highway_env\vehicle\kinematics.py:211(velocity)
   175394    1.119    0.000  102.557    0.001 ..\highway_env\utils.py:15(lmap)
  2251023    1.101    0.000    4.926    0.000 {built-in method builtins.any}
    69452    1.099    0.000    5.373    0.000 ..\highway_env\road\road.py:268(<listcomp>)
   918216    1.076    0.000    1.076    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
    70638    1.061    0.000    2.173    0.000 {pandas._libs.lib.clean_index_list}
  1854201    1.059    0.000    7.847    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:381(is_datetime64tz_dtype)
  1730658    1.042    0.000    1.042    0.000 {method 'format' of 'str' objects}
   565056    1.019    0.000  101.438    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\common.py:50(new_method)
   211908    1.018    0.000    3.905    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\algorithms.py:1511(_get_take_nd_function)
  1200792    1.011    0.000    3.468    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5659(maybe_extract_name)
   211896    1.009    0.000    4.881    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:993(iget)
   565056    1.001    0.000   23.193    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1573(from_array)
   500750    0.989    0.000   10.377    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:106(_clip)
  2260464    0.983    0.000    0.983    0.000 {built-in method numpy.seterrobj}
   105954    0.980    0.000    1.256    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
     3504    0.965    0.000    3.117    0.001 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\common\utils.py:46(to_tensor_var)
  2727338    0.946    0.000    1.163    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\overrides.py:1087(<genexpr>)
    52977    0.929    0.000    4.044    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:360(extract_index)
   264897    0.923    0.000    6.345    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4199(equals)
   209739    0.919    0.000    2.511    0.000 ..\highway_env\road\lane.py:102(distance_with_heading)
  1130232    0.911    0.000    5.550    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
   638092    0.908    0.000    3.144    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numeric.py:268(full)
  1478960    0.901    0.000    0.901    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    18365    0.900    0.000   13.045    0.001 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\single_agent\Model_common.py:117(__call__)
  1342074    0.898    0.000   31.840    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5562(ensure_index)
   211896    0.882    0.000    0.882    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:322(set)
   406161    0.873    0.000    2.451    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\common.py:218(asarray_tuplesafe)
   635724    0.866    0.000   18.723    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:726(convert)
   211896    0.852    0.000    4.462    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3702(_sanitize_column)
  1130232    0.840    0.000    4.102    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
  1642281    0.837    0.000    1.381    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1565(_get_dtype)
    52977    0.831    0.000   20.930    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:609(_list_of_dict_to_arrays)
   334933    0.814    0.000    0.814    0.000 {built-in method numpy.arange}
    35316    0.814    0.000  126.270    0.004 ..\highway_env\envs\common\observation.py:166(normalize_obs)
  3484185    0.810    0.000    1.285    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:180(<lambda>)
  8212581    0.803    0.000    0.803    0.000 {method 'values' of 'collections.OrderedDict' objects}
  3484185    0.789    0.000    0.789    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:178(classes)
   776952    0.786    0.000    0.888    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:398(_set_axis)
   529740    0.778    0.000    0.778    0.000 {method 'copy' of 'numpy.ndarray' objects}
   972074    0.770    0.000    2.606    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\overrides.py:1073(has_torch_function)
   462690    0.769    0.000    6.262    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1201(maybe_infer_to_datetimelike)
