         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1070124    1.409    0.000   22.602    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\functional.py:1124(relu)
  9178706    7.547    0.000   22.488    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
   408636    1.176    0.000   22.456    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3570(_iset_item)
    22424    0.123    0.000   22.375    0.001 ..\highway_env\envs\common\action.py:218(act)
    67272    0.226    0.000   22.246    0.000 ..\highway_env\envs\common\action.py:193(act)
    68106    0.503    0.000   22.210    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:143(init_ndarray)
   431586    3.278    0.000   22.034    0.000 ..\highway_env\road\road.py:312(neighbour_vehicles)
   271760    1.541    0.000   21.935    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\concat.py:110(concat_compat)
   271760    1.282    0.000   21.343    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1836(_multi_blockify)
  3758872    8.494    0.000   21.214    0.000 ..\highway_env\road\lane.py:164(local_coordinates)
  1070124   21.068    0.000   21.068    0.000 {built-in method relu}
   408636   11.712    0.000   20.974    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1052(iset)
  1087704    1.450    0.000   20.947    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:520(_try_cast)
  2609768   10.705    0.000   20.684    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\linalg\linalg.py:2363(norm)
   135880    0.319    0.000   20.437    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:517(_get_new_axes)
  5148264   20.156    0.000   20.156    0.000 ..\highway_env\road\lane.py:155(position)
   135880    0.329    0.000   19.919    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:520(<listcomp>)
 15430012   19.111    0.000   19.111    0.000 {built-in method numpy.array}
    68106    0.338    0.000   18.901    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:306(_concatenate_join_units)
   134544    1.448    0.000   18.700    0.000 ..\highway_env\envs\highway_env_v1.py:54(_agent_reward)
   543520    1.864    0.000   18.388    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4199(equals)
 10150756    5.194    0.000   18.185    0.000 <__array_function__ internals>:2(dot)
  3467098    2.179    0.000   18.086    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:456(is_period_dtype)
  3943176    2.562    0.000   17.988    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:530(is_categorical_dtype)
   476078    0.613    0.000   17.677    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5199(_protect_consolidate)
  1905365    1.297    0.000   17.650    0.000 {built-in method builtins.all}
   202650    0.493    0.000   17.481    0.000 ..\highway_env\road\road.py:265(close_vehicles_to)
   339866    0.249    0.000   17.390    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5210(_consolidate_inplace)
   272424    0.494    0.000   17.071    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3574(_set_item)
   272424    1.146    0.000   16.790    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
   267750    2.039    0.000   16.766    0.000 ..\highway_env\vehicle\controller.py:173(speed_control)
   280490    0.649    0.000   16.711    0.000 ..\highway_env\vehicle\kinematics.py:154(on_state_update)
    68106    0.151    0.000   16.622    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5270(values)
   339866    0.490    0.000   16.576    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5213(f)
  3127232    2.098    0.000   16.494    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:492(is_interval_dtype)
   815280   11.768    0.000   16.439    0.000 {pandas._libs.lib.maybe_convert_objects}
  5188995    3.289    0.000   16.435    0.000 ..\highway_env\road\graphics.py:57(vec2pix)
   543520    1.929    0.000   16.245    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:204(is_na)
   281654    1.834    0.000   16.025    0.000 ..\highway_env\road\road.py:51(get_closest_lane_index)
    68106    0.115    0.000   15.927    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:450(_get_axes)
  1209346    0.795    0.000   15.779    0.000 ..\highway_env\vehicle\kinematics.py:175(check_collision)
11777622/11777618    6.064    0.000   15.708    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
   339866    0.256    0.000   15.583    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:970(consolidate)
   271760    1.887    0.000   15.507    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\concat.py:29(get_dtype_kinds)
   135880    0.277    0.000   15.463    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:524(_get_comb_axis)
  3263112    2.888    0.000   15.444    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\dtypes.py:906(is_dtype)
  4347092    2.400    0.000   15.324    0.000 <__array_function__ internals>:2(ndim)
   135880    0.206    0.000   15.086    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\api.py:65(get_objs_combined_axis)
   272424    1.056    0.000   15.035    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3534(_get_item_cache)
   928843    1.700    0.000   14.850    0.000 ..\highway_env\vehicle\kinematics.py:199(_is_colliding)
   271760    0.576    0.000   14.836    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:465(_is_uniform_join_units)
  1087040    3.754    0.000   14.803    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1310(maybe_cast_to_datetime)
   408304    0.409    0.000   14.787    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:986(_consolidate_inplace)
   272424    1.564    0.000   14.752    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:160(arithmetic_op)
