         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1561098    1.787    0.000    5.434    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
  2847393    1.785    0.000    1.785    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\module.py:765(__getattr__)
    19950    1.743    0.000    2.083    0.000 ..\highway_env\road\graphics.py:149(<listcomp>)
   135880    1.740    0.000   78.919    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:31(concatenate_block_managers)
    68772    1.720    0.000    1.720    0.000 {method 'log_softmax' of 'torch._C._TensorBase' objects}
   928843    1.700    0.000   14.850    0.000 ..\highway_env\vehicle\kinematics.py:199(_is_colliding)
  2041188    1.699    0.000   10.384    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:339(extract_array)
   408636    1.680    0.000    8.293    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3702(_sanitize_column)
   710966    1.675    0.000    1.675    0.000 {built-in method numpy.arange}
  2923246    1.657    0.000   12.823    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:381(is_datetime64tz_dtype)
  4897656    1.656    0.000    2.208    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\range.py:687(__len__)
  1090252    1.638    0.000    1.750    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
  2609768    1.631    0.000   24.361    0.000 <__array_function__ internals>:2(norm)
   339866    1.631    0.000    8.722    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\missing.py:193(_isna_ndarraylike)
   408636    1.604    0.000    1.604    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:322(set)
   339866    1.601    0.000    3.619    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_asarray.py:221(require)
   135880    1.582    0.000    7.698    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:360(extract_index)
  1972418    1.581    0.000    6.716    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
   272424    1.564    0.000   14.752    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:160(arithmetic_op)
   271760    1.541    0.000   21.935    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\concat.py:110(concat_compat)
     1500    1.533    0.001    1.533    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
   339866    1.532    0.000    6.536    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\range.py:86(__new__)
  1770756    1.508    0.000    2.570    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:442(name)
   267750    1.483    0.000   70.482    0.000 ..\highway_env\vehicle\controller.py:79(act)
     9975    1.457    0.000    1.457    0.000 {built-in method pygame.event.get}
   953484    1.454    0.000    1.721    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1541(__init__)
  1087704    1.450    0.000   20.947    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:520(_try_cast)
  2105440    1.450    0.000   61.668    0.000 <__array_function__ internals>:2(clip)
   134544    1.448    0.000   18.700    0.000 ..\highway_env\envs\highway_env_v1.py:54(_agent_reward)
  1192724    1.444    0.000    1.444    0.000 ..\highway_env\utils.py:39(wrap_to_pi)
   257355    1.430    0.000    2.891    0.000 ..\highway_env\utils.py:54(point_in_rotated_rectangle)
  1070124    1.409    0.000   22.602    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\functional.py:1124(relu)
  1165998    1.407    0.000   25.771    0.000 {method 'clip' of 'numpy.generic' objects}
  3061118    1.403    0.000    2.188    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1565(_get_dtype)
   476742    1.394    0.000    1.963    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\shape_base.py:82(atleast_2d)
   407972    1.385    0.000    5.065    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:324(_verify_integrity)
  1835874    1.383    0.000   43.872    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5562(ensure_index)
   815280    1.375    0.000   27.376    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:726(convert)
    48020    1.374    0.000    1.374    0.000 {method 'blit' of 'pygame.Surface' objects}
    68022    1.370    0.000    1.370    0.000 {built-in method exp}
  3857532    1.360    0.000    1.686    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\overrides.py:1087(<genexpr>)
   951492    1.348    0.000    5.998    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
  1496340    1.326    0.000    4.546    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5659(maybe_extract_name)
   407972    1.318    0.000    7.508    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:132(__init__)
   818604    1.298    0.000    4.691    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numeric.py:268(full)
  1905365    1.297    0.000   17.650    0.000 {built-in method builtins.all}
   271760    1.282    0.000   21.343    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1836(_multi_blockify)
  1089696    1.278    0.000    1.433    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4039(__contains__)
  3402976    1.271    0.000    1.811    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
   681060    1.249    0.000    1.263    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
   611958    1.238    0.000    1.858    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:463(_simple_new)
  4895664    1.237    0.000    4.366    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:214(<genexpr>)
   953484    1.209    0.000    1.209    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5125(__getattr__)
 10150756    1.209    0.000    1.209    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\multiarray.py:706(dot)
   272424    1.207    0.000    1.207    0.000 {built-in method _operator.truediv}
  4758124    1.202    0.000    1.202    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:178(classes)
    22749    1.196    0.000    1.196    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   136212    1.191    0.000   41.723    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:1672(isetter)
   272424    1.176    0.000   13.830    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:369(apply)
   408636    1.176    0.000   22.456    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3570(_iset_item)
  1498332    1.175    0.000    1.980    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:492(name)
       14    1.175    0.084    1.175    0.084 {built-in method torch._C._cuda_getDeviceCount}
 11963176    1.168    0.000    1.168    0.000 {method 'values' of 'collections.OrderedDict' objects}
   606388    1.164    0.000    5.167    0.000 ..\highway_env\vehicle\kinematics.py:211(velocity)
   272424    1.146    0.000   16.790    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:2869(__getitem__)
  4758124    1.142    0.000    1.858    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:180(<lambda>)
  1358568    1.137    0.000    3.802    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\overrides.py:1073(has_torch_function)
  1497571    1.132    0.000    1.132    0.000 {method 'format' of 'str' objects}
   408636    1.130    0.000    8.105    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3184(_box_col_values)
  1021590    1.106    0.000    1.106    0.000 {method 'copy' of 'numpy.ndarray' objects}
   272424    1.100    0.000   32.999    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:2741(_construct_result)
279950/174028    1.091    0.000    5.860    0.000 ..\highway_env\vehicle\kinematics.py:238(to_dict)
   476078    1.091    0.000    3.364    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\range.py:134(_simple_new)
   544516    1.083    0.000    2.070    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5097(__finalize__)
  1361456    1.073    0.000    1.511    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:377(_get_axis)
   189941    1.065    0.000    1.065    0.000 {method 'view' of 'torch._C._TensorBase' objects}
   272424    1.056    0.000   15.035    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3534(_get_item_cache)
   135880    1.055    0.000  160.357    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:1660(from_records)
   135880    1.039    0.000   31.497    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:329(_homogenize)
   543520    1.029    0.000    8.225    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1201(maybe_infer_to_datetimelike)
   136212    1.008    0.000   10.125    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:782(setitem)
   407640    1.004    0.000   12.391    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\missing.py:358(array_equivalent)
  2856136    1.000    0.000    1.308    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:567(__len__)
     9975    0.997    0.000    0.997    0.000 {built-in method pygame.display.flip}
